id;Vármegye;Település;Típus;Férfi_2024;Nő_2024;Férfi_2025;Nő_2025
23940;HAJ;Sárrétudvari;nagyközség;1444;1413;1432;1411;2857;2843;-14;-0.4900245
19099;HAJ;Szentpéterszeg;község;536;557;542;545;1093;1087;-6;-0.5489478
33437;HAJ;Szerep;község;802;770;797;777;1572;1574;2;0.12722646
23214;HAJ;Téglás;város;3157;3272;3187;3270;6429;6457;28;0.43552652
31042;HAJ;Tépe;község;526;504;519;501;1030;1020;-10;-0.9708738
19691;HAJ;Tetétlen;község;699;648;705;648;1347;1353;6;0.4454343
15644;HAJ;Tiszacsege;város;2304;2291;2303;2296;4595;4599;4;0.08705114
30845;HAJ;Tiszagyulaháza;község;367;343;360;339;710;699;-11;-1.5492958
25876;HAJ;Told;község;208;196;205;195;404;400;-4;-0.990099
23393;HAJ;Újiráz;község;223;262;221;263;485;484;-1;-0.20618558
20419;HAJ;Újléta;község;595;555;583;550;1150;1133;-17;-1.4782609
32568;HAJ;Újszentmargita;község;699;713;691;712;1412;1403;-9;-0.6373938
11925;HAJ;Újtikos;község;419;423;412;411;842;823;-19;-2.256532
8989;HAJ;Vámospércs;város;2696;2742;2684;2719;5438;5403;-35;-0.64361894
16762;HAJ;Váncsod;község;603;575;588;576;1178;1164;-14;-1.188455
11138;HAJ;Vekerd;község;57;51;54;46;108;100;-8;-7.4074073
4817;HAJ;Zsáka;nagyközség;769;782;757;778;1551;1535;-16;-1.0315925
